Wavenumber,Calcite_01,Calcite_02,Calcite_03,Calcite_04,Calcite_05,Calcite_06,Calcite_07,Calcite_08,Calcite_09,Calcite_10,Calcite_11,Calcite_12,Calcite_13,Calcite_14,Calcite_15,Calcite_16,Calcite_17,Calcite_18,Calcite_19,Calcite_20,Quartz_01,Quartz_02,Quartz_03,Quartz_04,Quartz_05,Quartz_06,Quartz_07,Quartz_08,Quartz_09,Quartz_10,Quartz_11,Quartz_12,Quartz_13,Quartz_14,Quartz_15,Quartz_16,Quartz_17,Quartz_18,Quartz_19,Quartz_20,TiO2_Anatase_01,TiO2_Anatase_02,TiO2_Anatase_03,TiO2_Anatase_04,TiO2_Anatase_05,TiO2_Anatase_06,TiO2_Anatase_07,TiO2_Anatase_08,TiO2_Anatase_09,TiO2_Anatase_10,TiO2_Anatase_11,TiO2_Anatase_12,TiO2_Anatase_13,TiO2_Anatase_14,TiO2_Anatase_15,TiO2_Anatase_16,TiO2_Anatase_17,TiO2_Anatase_18,TiO2_Anatase_19,TiO2_Anatase_20
100.000000,0.025211,0.000000,0.005011,0.015619,0.012067,0.005965,0.018394,0.000000,0.000000,0.003197,0.012174,0.000000,0.018921,0.000468,0.025076,0.000000,0.000000,0.013861,0.000000,0.000000,0.064047,0.042168,0.060590,0.039468,0.036163,0.057438,0.049695,0.033642,0.094709,0.035149,0.076612,0.040366,0.094064,0.058077,0.052022,0.061236,0.037278,0.056767,0.050057,0.046017,0.007278,0.033660,0.038342,0.030669,0.038307,0.000000,0.018298,0.000000,0.031967,0.046867,0.018180,0.018673,0.011225,0.018661,0.000000,0.006155,0.000938,0.013875,0.021346,0.033265
104.930663,0.000000,0.022917,0.029082,0.000000,0.000000,0.000000,0.004661,0.021204,0.016304,0.015357,0.000000,0.000000,0.000000,0.000000,0.013068,0.005934,0.000000,0.008754,0.026385,0.000000,0.065771,0.086125,0.057842,0.085776,0.062028,0.079238,0.044082,0.056898,0.086589,0.040554,0.064113,0.021782,0.085351,0.077896,0.076782,0.046476,0.087305,0.047154,0.052425,0.058834,0.000000,0.000000,0.047992,0.039304,0.027597,0.021474,0.009024,0.020345,0.037095,0.033324,0.070625,0.014818,0.033730,0.016081,0.016699,0.017910,0.005161,0.029477,0.033956,0.026131
109.861325,0.000000,0.041518,0.006355,0.001981,0.015596,0.000000,0.007911,0.007299,0.009820,0.009884,0.000000,0.000531,0.017566,0.010661,0.009273,0.014511,0.000000,0.014845,0.016113,0.005469,0.118698,0.101835,0.120737,0.101501,0.135238,0.112776,0.099731,0.055726,0.110979,0.063383,0.142978,0.069159,0.140089,0.080884,0.100076,0.125034,0.113548,0.094103,0.131553,0.066328,0.036396,0.035022,0.016303,0.021787,0.011650,0.032713,0.028634,0.024908,0.012739,0.015340,0.045270,0.020950,0.011479,0.015088,0.035355,0.027076,0.014758,0.022278,0.040615,0.017572
114.791988,0.010093,0.037318,0.005902,0.000000,0.000000,0.000000,0.000000,0.010213,0.000000,0.007115,0.000000,0.009334,0.000000,0.000000,0.027478,0.000000,0.022259,0.003572,0.008829,0.025064,0.176431,0.160297,0.154368,0.145912,0.186079,0.144719,0.144471,0.189310,0.195867,0.159846,0.184877,0.135664,0.227941,0.169238,0.166457,0.197192,0.201490,0.175973,0.180774,0.167887,0.043207,0.032683,0.042148,0.003989,0.026499,0.048801,0.026096,0.043621,0.058145,0.039030,0.044759,0.072508,0.049762,0.040243,0.032007,0.053024,0.042969,0.074011,0.051261,0.023916
119.722650,0.007775,0.002593,0.000000,0.032866,0.000000,0.027560,0.007074,0.022636,0.001607,0.014091,0.000595,0.000000,0.000000,0.000000,0.000000,0.000569,0.000000,0.020660,0.000000,0.035146,0.320617,0.256386,0.298706,0.323643,0.339137,0.320454,0.311029,0.258706,0.347012,0.286581,0.412963,0.278818,0.323712,0.300958,0.265253,0.382514,0.364315,0.281680,0.305496,0.268782,0.046235,0.056097,0.069828,0.070639,0.056036,0.070580,0.098839,0.057344,0.092191,0.059723,0.030267,0.054859,0.093560,0.039526,0.070336,0.054117,0.062407,0.053304,0.083557,0.077143
124.653313,0.003330,0.005519,0.027201,0.013235,0.048270,0.007174,0.002487,0.000000,0.005211,0.005757,0.000000,0.000000,0.000000,0.002512,0.013063,0.013969,0.000000,0.003498,0.004507,0.027546,0.584790,0.478672,0.448286,0.535804,0.575514,0.528081,0.501365,0.462381,0.560233,0.460389,0.633279,0.461621,0.596343,0.523035,0.522163,0.596858,0.564856,0.530538,0.515833,0.457719,0.082382,0.093400,0.090864,0.079476,0.079205,0.079935,0.102435,0.088562,0.090373,0.097537,0.065849,0.086672,0.108959,0.087339,0.112931,0.046684,0.094061,0.108291,0.084695,0.088057
129.583975,0.000000,0.029315,0.034067,0.000000,0.007257,0.010404,0.027773,0.000000,0.038128,0.001979,0.000000,0.008968,0.009847,0.000000,0.020948,0.010625,0.014576,0.018935,0.026295,0.000000,0.596757,0.576717,0.623691,0.562194,0.553158,0.627270,0.601182,0.549658,0.545669,0.521009,0.557915,0.610707,0.606593,0.641800,0.678938,0.565208,0.648081,0.671705,0.636286,0.595685,0.167179,0.132132,0.165058,0.161171,0.146516,0.154967,0.131163,0.136684,0.152783,0.120584,0.154788,0.145223,0.154423,0.151066,0.123145,0.180034,0.139155,0.175479,0.133199,0.158155
134.514638,0.001094,0.000000,0.002162,0.001875,0.014354,0.000000,0.014728,0.013609,0.000000,0.011131,0.000000,0.002004,0.000000,0.017903,0.000000,0.024318,0.000000,0.010721,0.000000,0.028163,0.384378,0.319262,0.446905,0.356829,0.321473,0.403072,0.393512,0.361216,0.319080,0.343599,0.323418,0.439155,0.375381,0.432272,0.474760,0.343288,0.382176,0.469904,0.376806,0.409365,0.270146,0.295175,0.303168,0.327470,0.302055,0.252703,0.254548,0.253687,0.306505,0.276791,0.327004,0.263578,0.340842,0.272825,0.242359,0.322344,0.280343,0.264024,0.266983,0.297094
139.445300,0.014245,0.000000,0.000000,0.014793,0.011732,0.000000,0.000000,0.008483,0.010049,0.000000,0.026128,0.000000,0.000000,0.009371,0.000000,0.007475,0.000000,0.015023,0.043158,0.009421,0.197440,0.229569,0.264639,0.214748,0.191055,0.223951,0.231472,0.203614,0.197708,0.204893,0.154165,0.223136,0.214874,0.249916,0.261912,0.230867,0.227656,0.270228,0.171930,0.214586,0.563826,0.710768,0.674104,0.681834,0.672890,0.622580,0.591440,0.584592,0.666070,0.684224,0.728253,0.633458,0.709076,0.620229,0.603220,0.669346,0.609419,0.617186,0.649275,0.654569
144.375963,0.000000,0.004270,0.000000,0.010736,0.034319,0.000000,0.000000,0.000000,0.014836,0.025538,0.029213,0.018583,0.009576,0.000000,0.010039,0.000000,0.049348,0.000718,0.002881,0.034608,0.135082,0.131426,0.134684,0.129642,0.105710,0.133821,0.138254,0.109776,0.144955,0.099161,0.120286,0.163507,0.144440,0.127640,0.145064,0.109202,0.138423,0.167575,0.121094,0.121763,0.959032,1.076287,0.952976,1.000272,1.075675,0.984008,0.904602,0.979877,1.099462,1.008859,0.833103,1.076089,1.024363,1.059621,1.098655,1.055872,0.926018,1.037436,0.919083,0.957431
