Wavenumber,Polystyrene_01,Polystyrene_02,Polystyrene_03,Polystyrene_04,Polystyrene_05,Polystyrene_06,Polystyrene_07,Polystyrene_08,Polystyrene_09,Polystyrene_10,Polystyrene_11,Polystyrene_12,Polystyrene_13,Polystyrene_14,Polystyrene_15,Polystyrene_16,Polystyrene_17,Polystyrene_18,Polystyrene_19,Polystyrene_20,PMMA_01,PMMA_02,PMMA_03,PMMA_04,PMMA_05,PMMA_06,PMMA_07,PMMA_08,PMMA_09,PMMA_10,PMMA_11,PMMA_12,PMMA_13,PMMA_14,PMMA_15,PMMA_16,PMMA_17,PMMA_18,PMMA_19,PMMA_20,Polyethylene_01,Polyethylene_02,Polyethylene_03,Polyethylene_04,Polyethylene_05,Polyethylene_06,Polyethylene_07,Polyethylene_08,Polyethylene_09,Polyethylene_10,Polyethylene_11,Polyethylene_12,Polyethylene_13,Polyethylene_14,Polyethylene_15,Polyethylene_16,Polyethylene_17,Polyethylene_18,Polyethylene_19,Polyethylene_20
100.000000,0.012594,0.011217,0.000000,0.000000,0.056745,0.000000,0.000000,0.018976,0.000000,0.003537,0.001769,0.001865,0.004278,0.000000,0.022586,0.000000,0.019144,0.000000,0.019544,0.000000,0.006257,0.000000,0.000000,0.000000,0.013358,0.000000,0.021864,0.038114,0.012417,0.016892,0.000000,0.000000,0.000000,0.018458,0.003292,0.017869,0.000000,0.016464,0.000000,0.004144,0.000000,0.010178,0.024775,0.000000,0.012564,0.000000,0.006717,0.000000,0.001985,0.021692,0.024914,0.004755,0.035373,0.000000,0.000000,0.000000,0.000000,0.010265,0.000000,0.015245
104.930663,0.000000,0.000000,0.000000,0.000000,0.014126,0.019278,0.000000,0.000000,0.010178,0.022528,0.020487,0.043249,0.000000,0.010229,0.002135,0.000000,0.000000,0.000000,0.021326,0.000559,0.000000,0.000000,0.000000,0.002088,0.004889,0.000000,0.000000,0.021460,0.000000,0.000000,0.000000,0.000000,0.013012,0.021394,0.000000,0.000000,0.017249,0.026591,0.000000,0.002059,0.000000,0.002309,0.000000,0.000000,0.000000,0.012172,0.003528,0.000000,0.000000,0.000000,0.000000,0.026718,0.004015,0.000000,0.000000,0.000000,0.006736,0.000000,0.011050,0.000000
109.861325,0.000000,0.009070,0.000000,0.013035,0.013207,0.001334,0.000000,0.000000,0.000000,0.000000,0.014424,0.000000,0.034439,0.023652,0.026852,0.005093,0.012322,0.000000,0.037892,0.000000,0.000000,0.011610,0.014004,0.000000,0.000000,0.000000,0.011401,0.004744,0.026846,0.000000,0.000000,0.000000,0.025229,0.000000,0.000000,0.000000,0.000000,0.008323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007019,0.036712,0.000000,0.000000,0.000000,0.023981,0.000000,0.000000,0.000000,0.000000,0.000000,0.008790,0.015237
114.791988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008509,0.027629,0.000066,0.000000,0.000000,0.000000,0.010926,0.000000,0.000000,0.000000,0.005159,0.000342,0.017136,0.000000,0.003502,0.000000,0.001064,0.000000,0.015384,0.000000,0.000000,0.000000,0.023269,0.000456,0.000000,0.031939,0.000000,0.008116,0.000000,0.007002,0.013325,0.000000,0.000000,0.000000,0.000000,0.000000,0.029322,0.000000,0.000000,0.001251,0.005567,0.000000,0.023852,0.000000,0.000000,0.000000,0.003422,0.000000,0.000000,0.000000
119.722650,0.000000,0.000000,0.000000,0.004474,0.000000,0.039582,0.000185,0.000000,0.000000,0.003440,0.000000,0.000000,0.000757,0.000000,0.010051,0.000000,0.036895,0.000000,0.014049,0.000000,0.018778,0.000000,0.000000,0.024911,0.012030,0.012774,0.000000,0.000000,0.014425,0.006312,0.000000,0.012272,0.013921,0.025410,0.000000,0.004586,0.000000,0.028208,0.000000,0.003509,0.003668,0.000000,0.011004,0.000000,0.034578,0.007185,0.000000,0.000000,0.028227,0.036118,0.015108,0.017295,0.023188,0.000000,0.029192,0.000000,0.000000,0.000000,0.000000,0.008084
124.653313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005325,0.007471,0.018416,0.037306,0.000000,0.009121,0.000000,0.034670,0.006782,0.000000,0.000000,0.000000,0.000000,0.012013,0.004191,0.000000,0.001321,0.000000,0.009711,0.007098,0.000000,0.012637,0.000415,0.015209,0.000000,0.019085,0.000000,0.007242,0.001678,0.001836,0.000000,0.031034,0.000000,0.000000,0.008620,0.000000,0.012095,0.000000,0.000000,0.000000,0.047910,0.000000,0.007445,0.023124,0.000000,0.000000,0.000309,0.000000,0.000000,0.000000,0.000000,0.000000,0.013708,0.011520
129.583975,0.000000,0.020507,0.000000,0.023785,0.000000,0.000000,0.000000,0.010786,0.000000,0.000000,0.000000,0.000000,0.005371,0.006102,0.000000,0.000000,0.000000,0.000000,0.000000,0.016698,0.033512,0.000000,0.009993,0.000000,0.035739,0.009273,0.000000,0.000000,0.000221,0.000000,0.015843,0.032714,0.000000,0.022833,0.000000,0.002618,0.020387,0.000000,0.026444,0.013393,0.000688,0.000000,0.000000,0.036562,0.036943,0.002518,0.000000,0.018392,0.002862,0.024889,0.007656,0.013207,0.023951,0.033974,0.002273,0.010318,0.000000,0.014828,0.000000,0.000000
134.514638,0.000000,0.000000,0.003421,0.020040,0.000000,0.015332,0.009777,0.005919,0.000000,0.011586,0.000000,0.005681,0.000000,0.010566,0.006450,0.023822,0.000000,0.000000,0.000000,0.000000,0.000355,0.020841,0.000000,0.009021,0.000000,0.000000,0.000000,0.005640,0.000000,0.000000,0.011646,0.000000,0.000000,0.000000,0.000000,0.004782,0.005187,0.008827,0.000000,0.003218,0.029101,0.000000,0.000000,0.000000,0.039703,0.000000,0.016694,0.002841,0.001596,0.000000,0.006620,0.000000,0.018409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
139.445300,0.005218,0.000000,0.007493,0.004481,0.000000,0.000000,0.000000,0.004420,0.009094,0.001839,0.000000,0.000000,0.000000,0.010523,0.000000,0.018062,0.000000,0.018504,0.000000,0.004463,0.012599,0.000000,0.000000,0.002334,0.000000,0.003575,0.000000,0.000000,0.007790,0.000000,0.022178,0.000000,0.034303,0.000000,0.000000,0.000000,0.000000,0.000000,0.015703,0.000000,0.025769,0.025594,0.000000,0.009437,0.006241,0.000000,0.000000,0.000000,0.000000,0.035560,0.008396,0.000000,0.005888,0.025150,0.038295,0.013440,0.000000,0.000000,0.022389,0.000000
144.375963,0.003189,0.000000,0.036287,0.000000,0.000000,0.000000,0.000214,0.000000,0.012976,0.000000,0.017212,0.000000,0.000000,0.025710,0.000000,0.000000,0.000000,0.042143,0.000000,0.025076,0.000000,0.008060,0.008165,0.007315,0.000000,0.008119,0.000000,0.000000,0.016742,0.012233,0.000000,0.001820,0.023460,0.000000,0.000000,0.006569,0.026097,0.000000,0.000000,0.005895,0.022118,0.000000,0.021884,0.013151,0.000000,0.000000,0.000000,0.000000,0.000241,0.009214,0.007873,0.000000,0.000000,0.000000,0.000000,0.000000,0.007747,0.000000,0.000000,0.002181
149.306626,0.000000,0.000000,0.000000,0.000000,0.000000,0.007044,0.000000,0.006221,0.000000,0.000000,0.000000,0.004254,0.000000,0.017732,0.000000,0.000000,0.000000,0.031480,0.000000,0.000000,0.000000,0.006738,0.003345,0.000000,0.013434,0.018731,0.009636,0.002202,0.000000,0.000000,0.000000,0.000018,0.000378,0.000000,0.000000,0.000000,0.004770,0.021394,0.013533,0.000000,0.000000,0.009741,0.000000,0.000000,0.013276,0.000000,0.000000,0.008266,0.002026,0.005831,0.000000,0.000000,0.012110,0.000000,0.000000,0.002733,0.006278,0.021279,0.029422,0.007125
154.237288,0.000000,0.012797,0.000000,0.017885,0.000000,0.043317,0.000925,0.000000,0.000000,0.000000,0.032547,0.000000,0.024528,0.011788,0.014454,0.009382,0.009002,0.007791,0.013347,0.000000,0.001821,0.000000,0.002327,0.000000,0.002613,0.000000,0.000000,0.000000,0.014954,0.018248,0.023557,0.000000,0.000222,0.007665,0.004865,0.000000,0.015134,0.000000,0.000000,0.000000,0.000000,0.025495,0.004208,0.000000,0.026644,0.027889,0.000000,0.000000,0.000000,0.001718,0.000000,0.006632,0.008850,0.000000,0.017340,0.000000,0.000000,0.001609,0.000000,0.001839
159.167951,0.000000,0.000000,0.016614,0.031162,0.000000,0.000000,0.000000,0.000000,0.008169,0.020582,0.000000,0.000000,0.000000,0.013395,0.000000,0.031070,0.000000,0.034536,0.000000,0.003339,0.008328,0.020212,0.020547,0.000000,0.013990,0.012555,0.000000,0.000000,0.000000,0.000000,0.000000,0.014533,0.005664,0.000000,0.009158,0.008955,0.007225,0.000000,0.007146,0.000000,0.002977,0.029100,0.000940,0.014076,0.032717,0.002830,0.000000,0.017973,0.000000,0.010019,0.000000,0.027751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.011956
164.098613,0.000000,0.000000,0.000000,0.005686,0.009013,0.000000,0.000000,0.026473,0.022080,0.012703,0.008326,0.009657,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020149,0.005603,0.000243,0.006039,0.000000,0.000000,0.035506,0.000000,0.000000,0.011042,0.015813,0.000000,0.000000,0.000000,0.034020,0.000000,0.011918,0.000000,0.023423,0.014676,0.000000,0.017042,0.000000,0.000000,0.000000,0.007335,0.004708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002438,0.001190,0.000000,0.012527,0.001697,0.005168
