Wavenumber,Silicon_01,Silicon_02,Silicon_03,Silicon_04,Silicon_05,Silicon_06,Silicon_07,Silicon_08,Silicon_09,Silicon_10,Silicon_11,Silicon_12,Silicon_13,Silicon_14,Silicon_15,Silicon_16,Silicon_17,Silicon_18,Silicon_19,Silicon_20,Diamond_01,Diamond_02,Diamond_03,Diamond_04,Diamond_05,Diamond_06,Diamond_07,Diamond_08,Diamond_09,Diamond_10,Diamond_11,Diamond_12,Diamond_13,Diamond_14,Diamond_15,Diamond_16,Diamond_17,Diamond_18,Diamond_19,Diamond_20,Graphene_01,Graphene_02,Graphene_03,Graphene_04,Graphene_05,Graphene_06,Graphene_07,Graphene_08,Graphene_09,Graphene_10,Graphene_11,Graphene_12,Graphene_13,Graphene_14,Graphene_15,Graphene_16,Graphene_17,Graphene_18,Graphene_19,Graphene_20
100.000000,0.000000,0.004777,0.015211,0.027934,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024676,0.000000,0.000000,0.000000,0.000903,0.000000,0.013004,0.000000,0.005738,0.000000,0.000000,0.000000,0.006373,0.012685,0.000286,0.000664,0.000000,0.000292,0.000000,0.000000,0.000000,0.000000,0.009196,0.023093,0.014287,0.009430,0.000000,0.035000,0.000000,0.000000,0.000000,0.020435,0.009499,0.000000,0.000000,0.000000,0.017582,0.007977,0.002425,0.000000,0.010577,0.000000,0.000000,0.000000,0.022192,0.004522
104.930663,0.000000,0.000000,0.000000,0.025628,0.002236,0.022563,0.026941,0.005445,0.000000,0.006614,0.000000,0.000000,0.000000,0.000000,0.000000,0.002130,0.021534,0.000000,0.022311,0.006450,0.000000,0.009069,0.020531,0.016929,0.012585,0.000000,0.003875,0.006204,0.021531,0.001177,0.003304,0.007719,0.000000,0.000000,0.019145,0.004171,0.000000,0.019919,0.000000,0.000000,0.000000,0.010380,0.005568,0.000000,0.000000,0.027323,0.000000,0.000000,0.000000,0.000000,0.006136,0.000000,0.004021,0.000198,0.000000,0.006212,0.000000,0.035659,0.005070,0.037274
109.861325,0.000000,0.001525,0.014091,0.000000,0.000000,0.025758,0.023983,0.000000,0.000000,0.019844,0.037414,0.000000,0.009421,0.002884,0.018741,0.003108,0.004399,0.000000,0.004038,0.003160,0.017189,0.000000,0.016699,0.003895,0.000000,0.000000,0.000000,0.000000,0.019240,0.004249,0.000000,0.026781,0.011520,0.000000,0.000000,0.007435,0.003335,0.000000,0.000000,0.005364,0.000000,0.021061,0.000000,0.000000,0.000000,0.031690,0.017211,0.000552,0.009231,0.000000,0.000000,0.000000,0.020735,0.021764,0.004360,0.010182,0.000000,0.002124,0.000000,0.000000
114.791988,0.001330,0.000000,0.000000,0.000000,0.000000,0.006316,0.000000,0.030376,0.009405,0.036335,0.000000,0.000000,0.025005,0.027024,0.000000,0.000000,0.000000,0.015929,0.000000,0.021638,0.013139,0.034029,0.000649,0.000000,0.024562,0.009143,0.010503,0.000000,0.000000,0.000000,0.031075,0.008282,0.000000,0.000000,0.010579,0.000000,0.000000,0.019732,0.000000,0.000000,0.015349,0.000000,0.009188,0.019783,0.017715,0.000000,0.007611,0.029870,0.000000,0.000000,0.015441,0.019416,0.000000,0.028525,0.015434,0.000000,0.000000,0.001010,0.000000,0.000000
119.722650,0.024422,0.016817,0.020186,0.000000,0.004210,0.000000,0.000000,0.000000,0.000498,0.001378,0.007280,0.002009,0.015265,0.020761,0.000000,0.000000,0.000000,0.000000,0.019639,0.015051,0.050252,0.000000,0.000000,0.008369,0.000000,0.000000,0.000000,0.000000,0.000340,0.019536,0.000000,0.021898,0.005317,0.013612,0.010875,0.000106,0.008543,0.000867,0.000000,0.004799,0.000000,0.000000,0.000000,0.000000,0.003440,0.033304,0.013025,0.000000,0.000000,0.015305,0.005779,0.000000,0.000725,0.016110,0.017383,0.000000,0.000000,0.000000,0.000000,0.000000
124.653313,0.000000,0.000000,0.000000,0.000000,0.001018,0.000000,0.000000,0.000000,0.010488,0.000000,0.000000,0.021752,0.000000,0.000000,0.019249,0.000000,0.000000,0.011342,0.017706,0.006694,0.000000,0.039692,0.000000,0.005415,0.024993,0.015651,0.000000,0.030406,0.000000,0.014819,0.007784,0.024136,0.023598,0.000000,0.019872,0.000000,0.000000,0.000000,0.046255,0.000000,0.010806,0.027175,0.015614,0.000000,0.019059,0.000000,0.000000,0.000000,0.000000,0.008201,0.000000,0.000000,0.006572,0.000000,0.004001,0.000000,0.019589,0.003403,0.010334,0.000000
129.583975,0.000000,0.000000,0.011548,0.000000,0.000000,0.011376,0.003821,0.003539,0.015181,0.011520,0.014185,0.016860,0.015665,0.007234,0.003976,0.016108,0.018056,0.008524,0.032813,0.000000,0.000000,0.012184,0.003749,0.000000,0.000000,0.000000,0.038316,0.000000,0.000000,0.000000,0.000000,0.000000,0.023491,0.001446,0.028107,0.000000,0.000000,0.000000,0.000000,0.007131,0.031508,0.014865,0.007929,0.000000,0.009398,0.000000,0.000000,0.014752,0.000000,0.000000,0.004241,0.000000,0.024708,0.000000,0.000000,0.010876,0.014056,0.000000,0.006598,0.000000
134.514638,0.009267,0.022313,0.003670,0.000688,0.007642,0.000705,0.020929,0.000000,0.000000,0.000000,0.007760,0.000000,0.012313,0.000000,0.023401,0.019011,0.026651,0.000000,0.000000,0.000000,0.000000,0.008718,0.028720,0.012723,0.000000,0.000000,0.000000,0.021678,0.002624,0.000000,0.003024,0.037232,0.000000,0.000000,0.000000,0.000330,0.000000,0.000000,0.000000,0.003551,0.000000,0.016575,0.007312,0.000000,0.000000,0.006607,0.009540,0.000000,0.000000,0.015356,0.014306,0.000000,0.017674,0.015185,0.000000,0.010020,0.000000,0.014614,0.017894,0.045181
139.445300,0.006925,0.040865,0.000000,0.000000,0.000000,0.028402,0.000000,0.009553,0.005976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012648,0.000000,0.005922,0.005504,0.000000,0.004858,0.000000,0.016197,0.012488,0.000000,0.000000,0.000000,0.018511,0.000000,0.000000,0.015515,0.020068,0.025185,0.014159,0.000000,0.011153,0.007323,0.000000,0.012668,0.000000,0.025955,0.019879,0.001130,0.011167,0.000000,0.000000,0.000000,0.041669,0.000000,0.000000,0.014583,0.022381,0.034745,0.020786,0.000000,0.000000,0.000804,0.028054,0.000000,0.000000
144.375963,0.002449,0.036613,0.000000,0.000000,0.000000,0.000000,0.016803,0.010688,0.000000,0.000000,0.000000,0.012186,0.000000,0.000000,0.004758,0.006229,0.008453,0.000000,0.000000,0.000000,0.012152,0.000000,0.000000,0.000000,0.000000,0.010826,0.000000,0.000000,0.000000,0.011689,0.010177,0.002500,0.000000,0.005593,0.000000,0.023179,0.003703,0.000000,0.000000,0.001695,0.000000,0.004040,0.005302,0.000000,0.000000,0.030911,0.000000,0.003903,0.000000,0.000000,0.000000,0.012361,0.000000,0.000000,0.000000,0.008524,0.000000,0.000000,0.000000,0.000000
